WY,Max,Season
1879,177.952852,444.88213
1880,372.047445,783.071289
1881,38.188997,153.149689
1882,209.842633,492.12625
1883,90.157529,298.819059
1884,201.968613,481.102622
1885,42.126007,201.968613
1886,188.189078,461.811273
1887,168.110327,422.047472
1888,120.078805,344.882076
1889,70.472479,261.023763
1890,368.110435,775.984671
1891,109.842579,335.039551
1892,138.189051,379.921465
1893,292.126142,633.85861
1894,214.960746,511.023898
1895,318.110408,685.03974
1896,235.039497,544.094782
1897,244.882022,559.842822
1898,77.952798,261.811165
1899,131.102433,481.102622
1900,100.000054,405.905731
1901,172.047337,440.157718
1902,144.881968,372.834847
1903,125.196918,407.086834
1904,170.078832,433.858502
1905,88.189024,375.197053
1906,222.047364,514.173506
1907,305.118275,601.968829
1908,162.204812,340.157664
1909,225.196972,442.126223
1910,109.842579,342.126169
1911,305.118275,562.99243
1912,81.889808,277.165504
1913,144.881968,283.858421
1914,214.960746,437.00811
1915,190.157583,361.023817
1916,227.952879,479.921519
1917,159.842606,364.960827
1918,120.078805,290.157637
1919,150.000081,320.866315
1920,105.118167,325.984428
1921,135.826845,442.913625
1922,177.952852,514.173506
1923,168.110327,451.968748
1924,48.031522,194.881995
1925,85.039416,227.952879
1926,77.952798,227.952879
1927,157.086699,359.055312
1928,90.157529,307.08678
1929,90.157529,300.000162
1930,105.118167,251.181238
1931,75.196891,229.133982
1932,179.921357,501.181373
1933,159.842606,427.952987
1934,85.039416,246.850527
1935,188.189078,661.023979
1936,205.118221,588.189294
1937,150.000081,475.197107
1938,231.889889,818.89808
1939,120.078805,311.02379
1940,122.04731,372.834847
1941,125.196918,359.842714
1942,168.110327,535.039659
1943,120.078805,305.118275
1944,135.039443,307.08678
1945,125.196918,483.071127
1946,127.952825,337.008056
1947,81.889808,257.480454
1948,109.842579,410.236442
1949,129.92133,444.488429
1950,138.189051,562.205028
1951,79.921303,382.283671
1952,246.850527,811.811462
1953,100.000054,270.078886
1954,92.126034,264.173371
1955,92.913436,338.189159
1956,185.826872,594.094809
1957,70.472479,266.141876
1958,209.842633,592.913706
1959,105.118167,311.02379
1960,94.881941,325.984428
1961,90.157529,340.157664
1962,159.842606,491.338848
1963,100.000054,373.228548
1964,112.204785,378.346661
1965,114.960692,441.338821
1966,109.842579,338.976561
1967,168.110327,481.102622
1968,92.126034,352.756096
1969,242.126115,601.575128
1970,75.984293,307.874182
1971,240.15761,470.472695
1972,100.000054,371.653744
1973,131.889835,438.189213
1974,120.866207,464.173479
1975,151.181184,493.307353
1976,59.842552,227.952879
1977,33.858286,182.677264
1978,140.157556,464.173479
1979,109.842579,424.409678
1980,131.889835,426.378183
1981,74.015788,260.630062
1982,170.078832,623.622384
1983,194.881995,670.866504
1984,114.960692,366.535631
1985,105.118167,411.811246
1986,120.078805,447.638037
1987,62.99216,235.039497
1988,77.952798,235.826899
1989,100.000054,453.937253
1990,98.031549,316.141903
1991,98.031549,331.496242
1992,81.102406,237.795404
1993,170.078832,500.393971
1994,88.976426,248.819032
1995,192.126088,598.031819
1996,105.905569,328.740335
1997,125.98432,278.740308
1998,157.086699,529.527845
1999,159.055204,465.354582
2000,127.952825,347.244282
2001,94.094539,343.700973
2002,111.023682,381.496269
2003,96.063044,399.212814
2004,127.952825,375.590754
2005,122.04731,479.134117
2006,148.031576,709.449202
2007,103.149662,274.803298
2008,122.04731,346.45688
2009,123.228413,360.236415
2010,113.779589,509.449094
2011,222.441065,642.913733
2012,91.338632,326.77183
2013,80.315,214.961
2014,52.3622,194.488
2015,31.1024,130.315
2016,114.173,375.591
